id;code;value;name_short;name_full;name_short_eng;name_full_eng;unrestricted_value;code_country;alfa_2_country;alfa_3_country;is_actual
1;22779;respectful skyline;aha;clavicle;as oar punctually;fully wasabi wreck;times;lest organic why;tender;upon;NO
2;15431;sympathetically cinnamon tanker;intently round;aboard bravely mycoplasma;hopelessly;opposite;ajar actor;till;unless beneath;unless;NO
3;3356;idolized;knowingly ack;even;mostly aside next;whose bossy blowgun;ugh field;now aw dare;yowza gracefully hmph;furthermore;DELETE
4;656;frenetically world concentrate;duh;duh;failing repatriate yet;vide;primary powerfully beneath;lazily emergency;along;aboard tinted tan;YES
5;10902;unlawful probate;correctly yet;geez opposite;offbeat upside-down ew;nor considering;milestone;tip supreme overlook;psst;upon cactus needily;DELETE
6;11703;after;likewise;underneath parole clasp;flavor consequently;fooey following;thoroughly turret;round regarding astonish;brace frail besides;roughly mellow;YES
7;24863;next regenerate typeface;blowgun until stiff;quietly gee crisp;unnatural though through;whose sheepishly oh;infuse needily;haze inscribe letter;parched although;knowledgeably however;NO
8;25014;instantly aquaplane before;towards;but pickax;greatly relieved for;paraphrase;why um but;revert true transport;gracefully;incarnation why righteously;DELETE
9;22520;athwart abnormally;instead sugar celebrated;irritate simple;neck scientific but;sunder scarily now;champagne;excluding;useless agile;every uh-huh helplessly;DELETE
10;9841;indeed;but;arrangement bitter meanwhile;up off;far aside;sweeps;mirror;but oh meanwhile;across;DELETE
