id;directory_name;url_api;description;is_public
1;left;scented or;below intercut;PROD
2;meanwhile;likewise;desegregate;DEBUG
3;unless oh;however when justly;sleepily busily gadzooks;DELETE
4;axe chubby;instead whoa;expensive;DELETE
5;for;for;than mechanically tough;DEBUG
6;phase foolishly geez;immigrant adventurously;pro slipper reproachfully;PROD
7;another;deadline devalue rude;when allegation married;DELETE
8;notwithstanding versus provided;pace;infinite yet wasabi;PROD
9;politicize ouch;clear-cut;buffet;PROD
10;adventurous;outside beneath noted;courageous coarse ugh;PROD
